,Average_Hops_to_All_Nodes
Atlantic Av-Barclays Ctr,4.914209115281501
36 St,4.941018766756033
59 St,4.959785522788204
7 Av,5.013404825737266
14 St-8 Av,5.254691689008043
59 St-Columbus Circle,5.273458445040214
86 St,5.289544235924933
Prospect Park,5.2922252010723865
DeKalb Av,5.442359249329758
125 St,5.453083109919571
Jay St-MetroTech,5.458445040214477
Canal St,5.477211796246649
50 St,5.49597855227882
Queens Plaza,5.512064343163539
Lexington Av-59 St,5.520107238605898
Lexington Av-53 St-51 St,5.554959785522788
72 St,5.557640750670242
8 Av,5.563002680965147
Grand Central-42 St,5.565683646112601
Fort Hamilton Pkwy,5.57372654155496
47-50 Sts-Rockefeller Ctr,5.576407506702413
Franklin Av-Medgar Evers College,5.595174262734584
21 St-Queensbridge,5.60857908847185
Chambers St-WTC-Park Pl-Cortlandt,5.616621983914209
Chambers St-WTC-Park Pl,5.621983914209116
Church Av,5.627345844504021
Grand St,5.630026809651475
Times Sq-42 St-42 St,5.638069705093834
Lexington Av-63 St,5.651474530831099
5 Av-53 St,5.656836461126005
9 Av,5.6756032171581765
Franklin Av-Botanic Garden,5.6916890080428955
Steinway St,5.737265415549598
Bergen St,5.737265415549598
Brooklyn Bridge-City Hall-Chambers St,5.7479892761394105
Chambers St-WTC,5.772117962466488
14 St-Union Sq,5.7801608579088475
Union St,5.7828418230563
25 St,5.785522788203753
Chambers St,5.7882037533512065
W 4 St-Wash Sq,5.793565683646112
14 St-6 Av,5.825737265415549
51 St,5.836461126005362
Times Sq-42 St,5.847184986595174
Hoyt-Schermerhorn Sts,5.847184986595174
Nevins St,5.847184986595174
14 St,5.849865951742627
Botanic Garden,5.857908847184986
15 St-Prospect Park,5.86058981233244
4 Av-9 St,5.865951742627346
45 St,5.865951742627346
34 St-Penn Station,5.884718498659518
Court Sq-23 St-Court Sq,5.906166219839142
53 St,5.927613941018767
68 St-Hunter College,5.949061662198392
Bay Ridge Av,5.949061662198392
Court Sq-23 St,5.967828418230563
Bryant Pk-5 Av,5.994638069705094
42 St-Port Authority Bus Terminal,6.008042895442359
66 St-Lincoln Center,6.016085790884718
34 St-Herald Sq,6.021447721179625
23 St,6.032171581769437
Lexington Av-53 St,6.042895442359249
57 St,6.050938337801608
6 Av,6.080428954423592
79 St,6.091152815013404
Nostrand Av,6.099195710455764
Roosevelt Island,6.107238605898123
New Utrecht Av-62 St,6.117962466487936
Myrtle-Wyckoff Avs,6.126005361930295
Avenue U,6.13941018766756
Christopher St-Sheridan Sq,6.144772117962466
96 St,6.144772117962466
Brooklyn Bridge-City Hall,6.1554959785522785
74-Broadway-Jackson Hts-Roosevelt Av,6.158176943699732
Parkside Av,6.166219839142091
81 St-Museum of Natural History,6.168900804289544
Jackson Hts-Roosevelt Av,6.193029490616622
5 Av,6.195710455764075
Coney Island-Stillwell Av,6.198391420911528
18 St,6.206434316353888
57 St-7 Av,6.206434316353888
Court St-Borough Hall,6.222520107238606
Prospect Av,6.222520107238606
55 St,6.225201072386059
Spring St,6.2520107238605895
Broadway-Lafayette St-Bleecker St,6.254691689008043
Franklin Av,6.257372654155496
World Trade Center,6.262734584450402
145 St,6.2680965147453085
Franklin St,6.2680965147453085
High St,6.270777479892762
Fulton St,6.273458445040214
77 St,6.273458445040214
Broadway-Lafayette St,6.2761394101876675
Bay Ridge-95 St,6.278820375335121
City Hall,6.278820375335121
149 St-Grand Concourse,6.2841823056300266
62 St,6.28686327077748
135 St,6.2922252010723865
42 St-Bryant Pk,6.319034852546917
Queensboro Plaza,6.329758713136729
18 Av,6.340482573726542
Houston St,6.351206434316354
3 Av-138 St,6.359249329758713
137 St-City College,6.3646112600536195
Vernon Blvd-Jackson Av,6.367292225201072
138 St-Grand Concourse,6.372654155495979
Court St,6.386058981233244
Bowery,6.388739946380697
York St,6.404825737265416
116 St,6.42627345844504
Jefferson St,6.431635388739946
5 Av-59 St,6.436997319034853
49 St,6.436997319034853
116 St-Columbia University,6.439678284182306
Prince St,6.46916890080429
New Utrecht Av,6.471849865951743
Newkirk Plaza,6.487935656836461
Park Place,6.498659517426273
Graham Av,6.498659517426273
Clinton-Washington Avs,6.501340482573727
71 St,6.514745308310992
President St-Medgar Evers College,6.528150134048257
Cortlandt,6.53083109919571
33 St,6.538873994638069
Ditmas Av,6.538873994638069
Rector St,6.544235924932976
Crown Hts-Utica Av,6.546916890080429
Eastern Pkwy-Brooklyn Museum,6.565683646112601
Kings Hwy,6.584450402144772
Winthrop St,6.600536193029491
Carroll St,6.605898123324397
Beverly Rd,6.613941018766756
Montrose Av,6.619302949061662
Beverley Rd,6.619302949061662
34 St-Hudson Yards,6.627345844504021
Astor Pl,6.664879356568365
28 St,6.670241286863271
Park Pl,6.67828418230563
3 Av,6.694369973190349
WTC Cortlandt,6.6997319034852545
Grand Army Plaza,6.705093833780161
Halsey St,6.7077747989276135
46 St,6.7238605898123325
Utica Av,6.726541554959786
Jackson Av,6.7479892761394105
Smith-9 Sts,6.750670241286863
Hunters Point Av,6.758713136729223
Bay Pkwy,6.7640750670241285
Borough Hall,6.766756032171582
8 St-NYU,6.772117962466488
21 St,6.7882037533512065
Lafayette Av,6.7882037533512065
Hoyt St,6.79088471849866
Court Sq,6.798927613941019
Elmhurst Av,6.916890080428955
South Ferry-Whitehall St,6.916890080428955
Central Park North,6.919571045576408
Kingston-Throop Avs,6.919571045576408
Delancey St-Essex St,6.927613941018767
Junction Blvd,6.935656836461126
3 Av-149 St,6.97319034852547
Forest Hills-71 Av,6.983914209115282
Sterling St,6.994638069705094
Knickerbocker Av,7.032171581769437
61 St-Woodside,7.045576407506703
74-Broadway,7.053619302949062
Clark St,7.075067024128686
Bowling Green,7.075067024128686
39 Av-Dutch Kills,7.080428954423592
Kingston Av,7.080428954423592
Seneca Av,7.107238605898123
Bleecker St,7.117962466487936
East Broadway,7.120643431635389
Neck Rd,7.1233243967828415
103 St,7.1233243967828415
Avenue X,7.126005361930295
69 St,7.134048257372654
65 St,7.136729222520107
82 St-Jackson Hts,7.142091152815014
Bay 50 St,7.142091152815014
161 St-Yankee Stadium,7.163538873994638
155 St,7.171581769436997
W 8 St-NY Aquarium,7.174262734584451
Lorimer St-Metropolitan Av,7.176943699731903
Broadway Junction,7.18230563002681
Tremont Av,7.1876675603217155
168 St,7.190348525469169
Intervale Av,7.201072386058981
157 St,7.201072386058981
2 Av,7.206434316353888
33 St-Rawson St,7.225201072386059
Wall St,7.230563002680965
Lorimer St,7.230563002680965
Avenue I,7.2600536193029495
20 Av,7.2600536193029495
Harlem-148 St,7.265415549597855
Broad St,7.270777479892762
Sutter Av-Rutland Rd,7.281501340482574
Hunts Point Av,7.2841823056300266
Brook Av,7.343163538873995
Morgan Av,7.35656836461126
Classon Av,7.378016085790884
Northern Blvd,7.39142091152815
Cathedral Pkwy,7.399463806970509
110 St,7.404825737265416
Chauncey St,7.423592493297587
25 Av,7.450402144772118
Avenue H,7.477211796246649
Greenpoint Av,7.477211796246649
Cortelyou Rd,7.479892761394102
Marcy Av,7.509383378016086
Gates Av,7.53083109919571
Kosciuszko St,7.533512064343164
South Ferry,7.541554959785523
1 Av,7.563002680965147
Sheepshead Bay,7.563002680965147
Avenue M,7.57372654155496
Avenue P,7.576407506702413
Newkirk Av-Little Haiti,7.605898123324397
Grand Av-Newtown,7.616621983914209
36 Av,7.621983914209116
Mets-Willets Point,7.654155495978553
103 St-Corona Plaza,7.659517426273458
Ralph Av,7.683646112600536
Wilson Av,7.6997319034852545
67 Av,7.7319034852546915
Broadway,7.750670241286863
Avenue N,7.7560321715817695
Flushing Av,7.758713136729223
Nassau Av,7.772117962466488
Central Av,7.849865951742627
Kew Gardens-Union Tpke,7.865951742627346
40 St-Lowery St,7.868632707774799
Bedford Av,7.8766756032171585
Hewes St,7.8766756032171585
E 180 St,7.882037533512064
Saratoga Av,7.906166219839142
South Ferry Loop,7.914209115281501
90 St-Elmhurst Av,7.927613941018767
75 Av,7.949061662198392
Alabama Av,7.954423592493297
46 St-Bliss St,7.959785522788204
Myrtle Av,8.00804289544236
Euclid Av,8.00804289544236
52 St,8.00804289544236
Metropolitan Av,8.00804289544236
Liberty Av,8.06166219839142
167 St,8.085790884718499
Forest Av,8.093833780160859
163 St-Amsterdam Av,8.093833780160859
Ocean Pkwy,8.09651474530831
Neptune Av,8.099195710455763
168 St-Washington Hts,8.123324396782841
175 St,8.128686327077748
Avenue J,8.131367292225201
Fordham Rd,8.131367292225201
Rockaway Av,8.134048257372655
Simpson St,8.144772117962466
174-175 Sts,8.158176943699733
182-183 Sts,8.158176943699733
Atlantic Av,8.160857908847184
Bedford-Nostrand Avs,8.163538873994638
Bushwick Av-Aberdeen St,8.17426273458445
Woodhaven Blvd,8.211796246648793
Parkchester,8.238605898123325
Longwood Av,8.268096514745308
Whitlock Av,8.270777479892761
111 St,8.289544235924932
Cypress Av,8.327077747989277
63 Dr-Rego Park,8.402144772117962
Myrtle-Willoughby Avs,8.495978552278821
Brighton Beach,8.53887399463807
Jamaica-Van Wyck,8.584450402144773
Cleveland St,8.595174262734584
Flatbush Av-Brooklyn College,8.603217158176944
Flushing-Main St,8.651474530831099
Briarwood,8.72117962466488
Grant Av,8.737265415549597
30 Av,8.737265415549597
Van Siclen Av,8.73994638069705
Shepherd Av,8.82573726541555
Gun Hill Rd,8.82573726541555
75 St-Elderts Ln,8.836461126005362
Parsons Blvd,8.847184986595174
West Farms Sq-E Tremont Av,8.86058981233244
Morris Park,8.868632707774799
Bronx Park East,8.868632707774799
Freeman St,8.882037533512065
170 St,8.99195710455764
Junius St,9.005361930294907
Burnside Av,9.024128686327078
183 St,9.037533512064343
Crescent St,9.040214477211796
104 St,9.04289544235925
85 St-Forest Pkwy,9.056300268096514
181 St,9.06166219839142
Fresh Pond Rd,9.085790884718499
Kingsbridge Rd,9.101876675603217
Sutter Av,9.120643431635388
121 St,9.203753351206434
Castle Hill Av,9.20911528150134
St Lawrence Av,9.225201072386058
Sutphin Blvd-Archer Av-JFK Airport,9.227882037533512
E 149 St,9.25201072386059
Elder Av,9.257372654155496
E 143 St-St Mary's St,9.281501340482574
Ozone Park-Lefferts Blvd,9.28686327077748
174 St,9.308310991957105
Norwood Av,9.359249329758713
80 St,9.407506702412869
Cypress Hills,9.46916890080429
Rockaway Blvd,9.64343163538874
New Lots Av,9.697050938337801
Pennsylvania Av,9.699731903485254
Sutphin Blvd,9.702412868632708
Astoria Blvd,9.729222520107239
219 St,9.801608579088471
Pelham Pkwy,9.806970509383378
Burke Av,9.817694369973191
Baychester Av,9.817694369973191
Jamaica-179 St,9.841823056300267
169 St,9.841823056300267
88 St,9.855227882037534
Livonia Av,9.855227882037534
Mt Eden Av,9.978552278820375
176 St,10.010723860589811
191 St,10.016085790884718
190 St,10.016085790884718
Middle Village-Metropolitan Av,10.083109919571045
Bedford Park Blvd-Lehman College,10.088471849865952
Bedford Park Blvd,10.093833780160859
Zerega Av,10.184986595174262
Morrison Av-Soundview,10.211796246648793
Jamaica Center-Parsons-Archer,10.225201072386058
Aqueduct-N Conduit Av,10.57372654155496
Aqueduct Racetrack,10.605898123324398
East 105 St,10.689008042895443
Astoria-Ditmars Blvd,10.726541554959786
225 St,10.7828418230563
Allerton Av,10.798927613941018
Eastchester-Dyre Av,10.815013404825738
Dyckman St,10.970509383378015
Mosholu Pkwy,11.080428954423592
Norwood-205 St,11.091152815013405
Westchester Sq-E Tremont Av,11.16621983914209
Howard Beach-JFK Airport,11.512064343163539
Canarsie-Rockaway Pkwy,11.68632707774799
233 St,11.769436997319035
207 St,11.941018766756033
Inwood-207 St,11.967828418230564
Woodlawn,12.077747989276139
Middletown Rd,12.152815013404826
Broad Channel,12.455764075067025
Nereid Av,12.761394101876675
215 St,12.916890080428955
Buhre Av,13.144772117962466
Beach 67 St,13.42627345844504
Beach 90 St,13.436997319034852
Wakefield-241 St,13.758713136729222
Marble Hill-225 St,13.898123324396783
Pelham Bay Park,14.142091152815013
Beach 60 St,14.402144772117962
Beach 98 St,14.423592493297587
231 St,14.884718498659517
Beach 44 St,15.383378016085791
Beach 105 St,15.415549597855227
238 St,15.876675603217159
Beach 36 St,16.369973190348524
Rockaway Park-Beach 116 St,16.412868632707774
Van Cortlandt Park-242 St,16.873994638069703
Beach 25 St,17.361930294906166
Far Rockaway-Mott Av,18.359249329758715
